file,coverage
AGENTS.md,deep
CHANGELOG.md,deep
README.en.md,deep
README.md,deep
VERSION,deep
agents/luna-medium-worker.toml,deep
agents/luna-worker.toml,deep
benchmarks/README.md,deep
benchmarks/agent-routing-evaluation-2026-08-13.md,historical inventory only
benchmarks/deepseek-pro-route-probe-2026-08-13.md,historical inventory only
benchmarks/long-context-acceptance-2026-08-10.md,historical inventory only
benchmarks/official-deepseek-acceptance-2026-08-10.md,historical inventory only
benchmarks/pilot-2026-08-09.csv,data consistency
benchmarks/render_agent_routing_economics_chart.py,deep
benchmarks/render_readme_chart.py,deep
benchmarks/report-2026-08-09.md,historical inventory only
benchmarks/tracelab-token-economics-2026-08-13.csv,data consistency
benchmarks/tracelab-token-economics-2026-08-13.json,data consistency
benchmarks/verify_tracelab_token_economics.py,deep
docs/2026-08-17-selective-routing-governance-upgrade-plan.md,historical inventory only
docs/2026-09-07-opencode-worker-plugin-development-acceptance.md,historical inventory only
docs/2026-09-07-opencode-worker-plugin-development-evidence.json,JSON parse only; historical claim not independently rerun
docs/2026-09-07-opencode-worker-plugin-evidence.json,JSON parse only; historical claim not independently rerun
docs/2026-09-07-opencode-worker-plugin-plan.md,historical inventory only
docs/2026-09-07-opencode-worker-plugin-probe.md,historical inventory only
docs/2026-09-08-opencode-worker-completion-wakeup-validation.md,historical inventory only
docs/2026-09-08-opencode-worker-final-run-plan.md,deep
docs/2026-09-08-opencode-worker-long-wait-evidence.json,JSON parse only; historical claim not independently rerun
docs/2026-09-08-opencode-worker-long-wait-validation.md,historical inventory only
docs/2026-09-08-opencode-worker-run-final-evidence.json,deep
docs/2026-09-08-opencode-worker-run-prototype.patch,deep
docs/2026-09-08-opencode-worker-run-upgrade-receipt.json,JSON parse only; historical claim not independently rerun
docs/assets/agent-routing-economics-zh-2026-08-13.png,asset inventoried; visual not checked
docs/assets/benchmark-cost-comparison-en-2026-08-09.png,asset inventoried; visual not checked
docs/assets/benchmark-cost-comparison-zh-2026-08-09.png,asset inventoried; visual not checked
docs/assets/benchmark-pilot-2026-08-09.png,asset inventoried; visual not checked
docs/assets/deepswe-v1.1-cost-leaderboard.png,asset inventoried; visual not checked
personalization.md,deep
scripts/install.sh,deep
scripts/update.sh,deep
skills/sol-worker-routing/SKILL.md,deep
